"CODIGO","ADMINISTRADORA"
1,REDECARD
2,GETNET
3,CIELO
4,AMEX
5,BANRISUL
6,HIPERCARD
7,IBI
8,SICREDI
9,SOROCRED
10,DESCONHECIDO
11,GOODCARD
12,TICKET
13,SODEXO
14,STONE
15,VR
16,VEROCHEQUE
17,BIN
18,VALECARD
19,SAFRAPAY
20,GREENCARD
21,PAGSEGURO
22,ADYEN
23,SIPAG
24,ONECARD
25,GLOBAL
26,POLICARD
27,TRICARD
28,BRASILCARD
29,DACASA
30,BEN VISA VALE
31,ACQIO
32,NTK
33,CREDZ
34,UNICA
35,IFOOD
36,ADIQ
37,RAPPI
38,SENFF
39,LINX
40,LIBERCARD
41,MERCADOLIVRE
42,CREDSYSTEM
43,FORTBRASIL
44,ZOOP
45,CELER
46,C6PAY
